Unit,2017_01,2017_01,2017_01,2017_01,2017_02,2017_02,2017_02,2017_02,2017_03,2017_03,2017_03,2017_03,2017_04,2017_04,2017_04,2017_04,2017_05,2017_05,2017_05,2017_05,2017_06,2017_06,2017_06,2017_06,2017_07,2017_07,2017_07,2017_07,2017_08,2017_08,2017_08,2017_08,2017_09,2017_09,2017_09,2017_09,2017_10,2017_10,2017_10,2017_10,2017_11,2017_11,2017_11,2017_11,2017_12,2017_12,2017_12,2017_12,Revenue
06,18.20025701435,4341,209,328,18.1716305978144,4315,211,352,16.7349914236707,4332,214,332,17.7606086583798,4345,212,321,17.8824283882001,4356,200,322,20.7513363267052,4386,201,291,16.5938500960922,4364,195,319,17.0793946932007,4456,54,368,17.975468975469,4482,27,369,17.2776174773289,4495,26,357,19.2219245827323,4531,25,322,18.9734458624949,4525,20,333,401695824
07,17.7151291512915,2510,197,200,17.8723325974982,2501,189,217,16.2013225569434,2490,185,232,17.7747615553925,2518,181,208,17.1714808043876,2512,172,223,18.0861943024105,2536,169,202,17.0686632578524,2548,169,190,16.7140313390313,2567,99,241,18.0951366702165,2602,90,215,17.6153846153846,2631,86,190,19.1046306115235,2654,78,175,19.8760098349139,2670,60,177,260466005
08,16.7119829683698,3082,300,206,16.4751515151515,3086,288,214,16.5280558083106,3088,291,209,15.1740448756822,3072,290,226,16.2177199879044,3113,281,194,17.8433444008452,3132,275,181,16.0006031363088,3130,272,186,16.6746397694525,3243,118,227,17.8537708693149,3279,114,195,16.6566059225513,3300,76,212,18.996867881549,3336,76,176,16.5890722822994,3340,74,174,247267753
09,17.6768897708822,5181,403,362,17.9495661605206,5207,414,325,16.3306277056277,5196,402,348,17.656407487401,5192,390,364,17.2717469446441,5226,382,338,18.8090974212034,5258,362,326,15.9279828018631,5289,364,293,16.772987012987,5425,171,350,17.3883712905452,5439,150,357,17.0701392470346,5466,129,351,18.2035671411422,5498,115,333,17.1770047978067,5505,110,331,464379402
10,16.4072727272727,983,391,117,14.9508825786646,1178,188,125,14.2737556561086,1226,165,100,16.2466063348416,1223,165,103,16.3484162895928,1234,165,92,18.1862745098039,1238,165,88,18.7541557305337,1080,348,63,19.9188284518828,1100,296,95,19.2207896857373,1142,250,99,20.0440565253533,1143,288,60,20.9878577623591,1100,338,53,20.235039028621,1087,338,66,122813172
11,17.7656582871751,2065,681,282,16.4785744590581,2091,671,266,16.2105708245243,2136,663,229,15.1894736842105,2117,653,258,16.3898947368421,2095,653,280,18.2616547669047,2137,647,244,15.2386744966443,2160,644,224,16.3214140593255,2206,567,255,17.9327663021466,2197,559,272,16.4210314262691,2224,546,258,17.4681451612903,2242,548,238,17.2024048096192,2231,533,264,198423588
12,15.5378247873074,3794,149,555,14.5045977011494,3767,148,583,13.48891966759,3734,166,598,14.2193205454125,3700,171,627,13.7713625866051,3705,168,625,16.5437947769817,3736,171,591,13.1837725381415,3732,172,594,14.8921591170384,3770,149,579,15.3669493467797,3789,135,574,15.7754402012349,3812,125,561,15.9481853458115,3840,117,541,15.5754049737623,3810,115,573,376457309
13,12.4703389830508,906,248,38,13.7168610816543,909,249,34,14.3817603393425,909,249,34,14.0445387062566,913,249,30,12.9119830328738,914,249,29,18.9904559915164,929,249,14,12.5297239915074,919,250,23,14.2041884816754,923,237,32,13.661780104712,917,237,38,9.45227858985383,898,29,265,8.34823731728289,852,29,311,8.96124031007752,817,160,215,108064012
14,15.234608985025,2171,124,233,15.0287141073658,2104,125,299,13.8008350730689,2094,133,301,15.4688935281837,2103,133,292,15.5919132972072,2126,129,273,16.8463140358184,2134,127,267,14.9929577464789,2155,114,259,15.2080397845006,2154,115,259,16.0638383838384,2233,53,242,14.909898989899,2236,53,239,15.1886868686869,2215,53,260,13.2871567043619,2178,52,298,212299511
15,13.1622455274522,1574,23,47,13.4139420111043,1485,23,136,11.5487654320988,1506,24,114,12.9882133995037,1552,32,60,13.0217256362508,1563,33,48,13.861833952912,1559,30,55,13.3145510835913,1549,29,66,12.9288806431664,1566,27,51,14.8886138613861,1564,28,52,14.6442248301421,1571,25,48,16.4832920792079,1571,28,45,17.5392809587217,1476,142,26,141566554
